,Sector,Sector,Sector,Sector,Sector,Sector,Purpose,Purpose,Purpose,Purpose,Purpose,Purpose,
BRKS,0,0,0,0,0,0,0,0,1,1,0,0,2
BRX,0,0,0,1,0,1,0,0,0,0,0,0,2
BSIG,0,0,0,0,0,0,0,0,0,0,0,1,1
BXP,0,0,0,1,1,1,0,0,0,0,0,0,3
C,0,0,0,0,0,0,1,0,0,0,0,0,1
CABO,0,0,0,0,0,0,0,0,1,1,0,0,2
CAR,0,0,0,0,0,0,0,0,1,0,0,0,1
CAT,0,0,0,0,0,0,1,0,0,0,0,0,1
CBRE,0,0,0,0,1,0,0,0,0,0,0,0,1
CBU,0,0,0,0,0,0,0,0,0,0,1,1,2
CCI,0,0,0,0,1,0,0,1,0,0,0,0,2
CCOI,0,0,0,0,0,0,0,0,0,0,1,1,2
CCS,0,0,0,0,0,0,0,0,0,0,0,1,1
CDAY,1,1,1,0,0,0,0,0,0,0,0,0,3
CDK,0,1,0,0,0,0,0,0,0,0,0,0,1
CDNS,1,1,1,0,0,0,0,1,0,0,0,0,4
CDW,1,0,1,0,0,0,0,0,0,0,0,0,2
CELH,0,0,0,0,0,0,0,0,0,0,1,1,2
CGNX,0,0,0,0,0,0,0,0,1,1,0,0,2
CHDN,0,0,0,0,0,0,0,0,1,1,0,0,2
CHE,0,0,0,0,0,0,0,0,0,1,0,0,1
CHTR,0,0,0,0,0,0,1,1,0,0,0,0,2
CI,0,0,0,0,0,0,1,0,0,0,0,0,1
CIEN,0,0,0,0,0,0,0,0,1,0,0,0,1
CLF,0,0,0,0,0,0,0,0,1,1,0,0,2
CLI,0,0,0,0,0,1,0,0,0,0,0,0,1
CLSK,0,1,0,0,0,0,0,0,0,0,0,0,1
CMCSA,0,0,0,0,0,0,1,1,0,0,0,0,2
CMG,0,0,0,0,0,0,0,1,0,0,0,0,1
CNDT,0,1,0,0,0,0,0,0,0,0,0,0,1
CNMD,0,0,0,0,0,0,0,0,0,0,1,1,2
CNXC,0,1,0,0,0,0,0,0,0,0,0,0,1
COLD,0,0,0,1,0,1,0,0,0,0,0,0,2
CONE,0,0,0,1,0,0,0,0,1,1,0,0,3
COOP,0,0,0,0,0,0,0,0,0,0,1,1,2
COR,0,0,0,1,0,0,0,0,0,0,0,0,1
CORT,0,0,0,0,0,0,0,0,0,0,0,1,1
COST,0,0,0,0,0,0,1,1,0,0,0,0,2
CPRI,0,0,0,0,0,0,0,0,1,0,0,0,1
CPRT,0,0,0,0,0,0,0,1,0,0,0,0,1
CPT,0,0,0,1,0,1,0,0,1,1,0,0,4
CRM,1,1,1,0,0,0,1,1,0,0,0,0,5
CRNC,0,1,0,0,0,0,0,0,0,0,0,0,1
CROX,0,0,0,0,0,0,0,0,1,1,0,0,2
CRWD,0,1,0,0,0,0,0,1,0,0,0,0,2
CSCO,1,0,1,0,0,0,1,0,0,0,0,0,3
CSGP,0,0,0,0,0,0,0,1,0,0,0,0,1
CSGS,0,1,0,0,0,0,0,0,0,0,0,0,1
CSL,0,0,0,0,0,0,0,0,1,1,0,0,2
CSR,0,0,0,0,0,1,0,0,0,0,0,0,1
CTRE,0,0,0,1,0,1,0,0,0,0,0,0,2
CTSH,1,1,1,0,0,0,0,0,0,0,0,0,3
CTVA,0,0,0,0,0,0,0,1,0,0,0,0,1
CTXS,1,0,1,0,0,0,0,0,0,0,0,0,2
CUBE,0,0,0,1,0,1,0,0,0,0,0,0,2
CUZ,0,0,0,1,0,1,0,0,0,0,0,0,2
CVS,0,0,0,0,0,0,1,0,0,0,0,0,1
CVX,0,0,0,0,0,0,1,1,0,0,0,0,2
CWT,0,0,0,0,0,0,0,0,0,0,1,1,2
CXP,0,0,0,1,0,1,0,0,0,0,0,0,2
CYTK,0,0,0,0,0,0,0,0,0,0,1,1,2
DAR,0,0,0,0,0,0,0,0,1,1,0,0,2
DBRG,0,0,0,1,0,0,0,0,0,0,0,0,1
DDD,0,0,0,0,0,0,0,0,0,0,1,0,1
DDOG,0,1,0,0,0,0,0,0,0,0,0,0,1
DE,0,0,0,0,0,0,1,1,0,0,0,0,2
DEA,0,0,0,0,0,1,0,0,0,0,0,0,1
DECK,0,0,0,0,0,0,0,0,1,1,0,0,2
DEI,0,0,0,1,0,1,0,0,0,0,0,0,2
DG,0,0,0,0,0,0,0,1,0,0,0,0,1
DHR,0,0,0,0,0,0,1,1,0,0,0,0,2
DIOD,0,0,0,0,0,0,0,0,0,0,1,1,2
DIS,0,0,0,0,0,0,1,0,0,0,0,0,1
DKS,0,0,0,0,0,0,0,0,1,0,0,0,1
DLR,0,0,0,1,1,1,0,0,0,0,0,0,3
DMRC,0,1,0,0,0,0,0,0,0,0,0,0,1
DOC,0,0,0,1,0,0,0,0,0,0,0,0,1
DOCU,0,1,0,0,0,0,0,1,0,0,0,0,2
DOMO,0,1,0,0,0,0,0,0,0,0,0,0,1
DORM,0,0,0,0,0,0,0,0,0,0,1,1,2
DRE,0,0,0,1,1,1,0,0,0,0,0,0,3
DRH,0,0,0,1,0,1,0,0,0,0,0,0,2
DT,0,1,0,0,0,0,0,0,0,0,0,0,1
DXC,1,0,1,0,0,0,0,0,0,0,0,0,2
EBIX,0,1,0,0,0,0,0,0,0,0,0,0,1
ECL,0,0,0,0,0,0,0,1,0,0,0,0,1
EGHT,0,0,0,0,0,0,0,0,0,0,0,1,1
EGP,0,0,0,1,0,1,0,0,1,1,0,0,4
EL,0,0,0,0,0,0,0,1,0,0,0,0,1
ELS,0,0,0,1,0,1,0,0,0,0,0,0,2
ENPH,1,0,1,0,0,0,0,0,0,0,0,0,2
ENSG,0,0,0,0,0,0,0,0,0,0,1,1,2
ENV,0,1,0,0,0,0,0,0,0,0,0,0,1
EPAM,0,1,0,0,0,0,0,1,0,0,0,0,2
EPAY,0,1,0,0,0,0,0,0,0,0,0,0,1
EPR,0,0,0,1,0,1,0,0,0,0,0,0,2
EPRT,0,0,0,1,0,1,0,0,0,0,1,1,4
EQC,0,0,0,0,0,1,0,0,0,0,0,0,1
EQIX,0,0,0,1,1,0,0,1,0,0,0,0,3
EQR,0,0,0,1,1,1,0,0,0,0,0,0,3
ESRT,0,0,0,0,0,1,0,0,0,0,0,0,1
ESS,0,0,0,1,1,1,0,0,0,0,0,0,3
ESTC,0,1,0,0,0,0,0,0,0,0,0,0,1
ETWO,0,1,0,0,0,0,0,0,0,0,0,0,1
EVTC,0,0,0,0,0,0,0,0,0,0,0,1,1
EWBC,0,0,0,0,0,0,0,0,1,0,0,0,1
EXEL,0,0,0,0,0,0,0,0,0,1,0,0,1
EXLS,0,1,0,0,0,0,0,0,0,0,1,1,3
EXPO,0,0,0,0,0,0,0,0,0,0,1,1,2
EXR,0,0,0,1,1,1,0,0,0,0,0,0,3
FAF,0,0,0,0,0,0,0,0,1,0,0,0,1
FB,0,0,0,0,0,0,1,0,0,0,0,0,1
FBP,0,0,0,0,0,0,0,0,0,0,1,0,1
FCN,0,0,0,0,0,0,0,0,0,1,0,0,1
FCPT,0,0,0,1,0,1,0,0,0,0,0,0,2
FCX,0,0,0,0,0,0,0,1,0,0,0,0,1
FDS,0,0,0,0,0,0,0,0,1,1,0,0,2
FDX,0,0,0,0,0,0,0,1,0,0,0,0,1
FELE,0,0,0,0,0,0,0,0,0,0,1,1,2
FFIV,1,0,1,0,0,0,0,0,0,0,0,0,2
FHB,0,0,0,0,0,0,0,0,0,0,1,0,1
FHN,0,0,0,0,0,0,0,0,1,0,0,0,1
FICO,0,0,0,0,0,0,0,0,1,1,0,0,2
FIS,1,0,1,0,0,0,1,0,0,0,0,0,3
FISV,1,0,1,0,0,0,0,0,0,0,0,0,2
FIVE,0,0,0,0,0,0,0,0,1,1,0,0,2
FIX,0,0,0,0,0,0,0,0,0,0,1,1,2
FLOW,0,0,0,0,0,0,0,0,0,0,1,0,1
FLT,1,0,1,0,0,0,0,0,0,0,0,0,2
FN,0,0,0,0,0,0,0,0,0,0,1,1,2
FORM,0,0,0,0,0,0,0,0,0,0,1,1,2
FOXF,0,0,0,0,0,0,0,0,0,1,0,0,1
FR,0,0,0,1,0,1,0,0,0,0,0,0,2
FRT,0,0,0,1,1,1,0,0,0,0,0,0,3
FSLR,0,0,0,0,0,0,0,0,1,1,0,0,2
FSS,0,0,0,0,0,0,0,0,0,0,0,1,1
FTNT,1,1,1,0,0,0,0,0,0,0,0,0,3
FUL,0,0,0,0,0,0,0,0,0,0,1,1,2
FWRD,0,0,0,0,0,0,0,0,0,0,0,1,1
G,0,0,0,0,0,0,0,0,1,1,0,0,2
GDOT,0,0,0,0,0,0,0,0,0,0,0,1,1
GE,0,0,0,0,0,0,1,0,0,0,0,0,1
GGG,0,0,0,0,0,0,0,0,1,1,0,0,2
GILD,0,0,0,0,0,0,1,0,0,0,0,0,1
GLPI,0,0,0,1,0,0,0,0,0,0,0,0,1
GLW,1,0,1,0,0,0,0,0,0,0,0,0,2
GME,0,0,0,0,0,0,0,0,1,1,0,0,2
GMED,0,0,0,0,0,0,0,0,0,1,0,0,1
GNL,0,0,0,0,0,1,0,0,0,0,0,0,1
GNTX,0,0,0,0,0,0,0,0,1,1,0,0,2
GOOG,0,0,0,0,0,0,1,0,0,0,0,0,1
GOOGL,0,0,0,0,0,0,1,0,0,0,0,0,1
GPI,0,0,0,0,0,0,0,0,0,0,1,0,1
GPN,1,0,1,0,0,0,0,0,0,0,0,0,2
GS,0,0,0,0,0,0,1,1,0,0,0,0,2
GSKY,0,1,0,0,0,0,0,0,0,0,0,0,1
GTLS,0,0,0,0,0,0,0,0,0,0,1,1,2
GWRE,0,1,0,0,0,0,0,0,0,0,0,0,1
GXO,0,0,0,0,0,0,0,0,1,1,0,0,2
HALO,0,0,0,0,0,0,0,0,0,1,0,0,1
HD,0,0,0,0,0,0,1,1,0,0,0,0,2
HELE,0,0,0,0,0,0,0,0,0,1,0,0,1
HI,0,0,0,0,0,0,0,0,0,0,1,1,2
HIW,0,0,0,1,0,1,0,0,0,0,0,0,2
HON,0,0,0,0,0,0,1,0,0,0,0,0,1
HP,0,0,0,0,0,0,0,0,0,0,1,0,1
HPE,1,0,1,0,0,0,0,0,0,0,0,0,2
HPP,0,0,0,1,0,1,0,0,0,0,0,0,2
HPQ,1,0,1,0,0,0,0,0,0,0,0,0,2
HQY,0,0,0,0,0,0,0,0,0,1,0,0,1
HR,0,0,0,1,0,1,0,0,0,0,0,0,2
HRC,0,0,0,0,0,0,0,0,1,0,0,0,1
HSKA,0,0,0,0,0,0,0,0,0,0,0,1,1
HST,0,0,0,1,1,1,0,0,0,0,0,0,3
HTA,0,0,0,1,0,1,0,0,0,0,0,0,2
HUBB,0,0,0,0,0,0,0,0,1,1,0,0,2
HUBS,0,1,0,0,0,0,0,0,0,0,0,0,1
HUM,0,0,0,0,0,0,0,1,0,0,0,0,1
IAA,0,0,0,0,0,0,0,0,1,1,0,0,2
IBKR,0,0,0,0,0,0,0,0,0,1,0,0,1
IBM,1,0,1,0,0,0,1,0,0,0,0,0,3
IBP,0,0,0,0,0,0,0,0,0,0,1,1,2
IDXX,0,0,0,0,0,0,0,1,0,0,0,0,1
IIPR,0,0,0,0,0,1,0,0,0,0,1,1,3
IIVI,0,0,0,0,0,0,0,0,0,1,0,0,1
ILPT,0,0,0,1,0,1,0,0,0,0,0,0,2
INTC,1,0,1,0,0,0,1,0,0,0,0,0,3
INTU,1,1,1,0,0,0,1,1,0,0,0,0,5
INVH,0,0,0,1,0,1,0,0,0,0,0,0,2
IPGP,1,0,1,0,0,0,0,0,0,0,0,0,2
IRBT,0,0,0,0,0,0,0,0,0,0,0,1,1
IRM,0,0,0,1,1,0,0,0,0,0,0,0,2
IRT,0,0,0,1,0,1,0,0,0,0,0,0,2
ISBC,0,0,0,0,0,0,0,0,0,0,1,0,1
ISRG,0,0,0,0,0,0,1,1,0,0,0,0,2
IT,1,1,1,0,0,0,0,0,0,0,0,0,3
ITGR,0,0,0,0,0,0,0,0,0,0,1,0,1
ITRI,0,0,0,0,0,0,0,0,0,0,1,1,2
ITT,0,0,0,0,0,0,0,0,1,0,0,0,1
JAMF,0,1,0,0,0,0,0,0,0,0,0,0,1
JAZZ,0,0,0,0,0,0,0,0,1,1,0,0,2
JBGS,0,0,0,1,0,1,0,0,0,0,0,0,2
JBL,0,0,0,0,0,0,0,0,1,0,0,0,1
JBT,0,0,0,0,0,0,0,0,0,0,1,1,2
JEF,0,0,0,0,0,0,0,0,1,0,0,0,1
JHG,0,0,0,0,0,0,0,0,1,0,0,0,1
JKHY,1,0,1,0,0,0,0,0,0,0,0,0,2
JLL,0,0,0,0,0,0,0,0,1,0,0,0,1
JNJ,0,0,0,0,0,0,1,0,0,0,0,0,1
JNPR,1,0,1,0,0,0,0,0,0,0,0,0,2
JPM,0,0,0,0,0,0,1,0,0,0,0,0,1
KEYS,1,0,1,0,0,0,0,1,0,0,0,0,3
KFY,0,0,0,0,0,0,0,0,0,0,1,0,1
KIM,0,0,0,1,1,1,0,0,0,0,0,0,3
KKR,0,0,0,0,0,0,0,1,0,0,0,0,1
KLAC,1,0,1,0,0,0,0,1,0,0,0,0,3
KLIC,0,0,0,0,0,0,0,0,0,0,1,1,2
KNX,0,0,0,0,0,0,0,0,1,1,0,0,2
KO,0,0,0,0,0,0,1,0,0,0,0,0,1
KRC,0,0,0,1,0,1,0,0,0,0,0,0,2
KRG,0,0,0,1,0,1,0,0,0,0,0,0,2
KSU,0,0,0,0,0,0,0,1,0,0,0,0,1
KWR,0,0,0,0,0,0,0,0,0,0,1,1,2
LAD,0,0,0,0,0,0,0,0,1,1,0,0,2
LAMR,0,0,0,1,0,0,0,0,1,1,0,0,3
LBRDK,0,0,0,0,0,0,0,1,0,0,0,0,1
LCII,0,0,0,0,0,0,0,0,0,0,1,1,2
LEA,0,0,0,0,0,0,0,0,1,0,0,0,1
LECO,0,0,0,0,0,0,0,0,1,1,0,0,2
LFUS,0,0,0,0,0,0,0,0,0,1,0,0,1
LGIH,0,0,0,0,0,0,0,0,0,0,1,1,2
LII,0,0,0,0,0,0,0,0,1,1,0,0,2
LIN,0,0,0,0,0,0,1,0,0,0,0,0,1
LITE,0,0,0,0,0,0,0,0,0,1,0,0,1
LLY,0,0,0,0,0,0,1,1,0,0,0,0,2
LMT,0,0,0,0,0,0,1,0,0,0,0,0,1
LOW,0,0,0,0,0,0,1,0,0,0,0,0,1
LPSN,0,0,0,0,0,0,0,0,0,0,1,1,2
LRCX,1,0,1,0,0,0,1,1,0,0,0,0,4
LSCC,0,0,0,0,0,0,0,0,1,1,0,0,2
LSI,0,0,0,1,0,1,0,0,1,1,0,0,4
LTC,0,0,0,0,0,1,0,0,0,0,0,0,1
LTHM,0,0,0,0,0,0,0,0,0,0,1,1,2
LULU,0,0,0,0,0,0,0,1,0,0,0,0,1
LXP,0,0,0,1,0,1,0,0,0,0,1,0,3
M,0,0,0,0,0,0,0,0,0,0,1,0,1
MA,1,0,1,0,0,0,1,1,0,0,0,0,4
MAA,0,0,0,1,1,1,0,0,0,0,0,0,3
MAC,0,0,0,1,0,1,0,0,0,0,0,0,2
MANH,0,1,0,0,0,0,0,0,1,1,0,0,3
MARA,0,1,0,0,0,0,0,0,0,0,0,0,1
MASI,0,0,0,0,0,0,0,0,1,1,0,0,2
MAT,0,0,0,0,0,0,0,0,0,1,0,0,1
MATX,0,0,0,0,0,0,0,0,0,0,1,1,2
MCD,0,0,0,0,0,0,1,0,0,0,0,0,1
MCFE,0,1,0,0,0,0,0,0,0,0,0,0,1
MCHP,1,0,1,0,0,0,0,0,0,0,0,0,2
MCO,0,0,0,0,0,0,0,1,0,0,0,0,1
MDLZ,0,0,0,0,0,0,1,0,0,0,0,0,1
MDT,0,0,0,0,0,0,1,0,0,0,0,0,1
MED,0,0,0,0,0,0,0,0,0,0,0,1,1
MEDP,0,0,0,0,0,0,0,0,0,1,0,0,1
MIDD,0,0,0,0,0,0,0,0,1,1,0,0,2
MIME,0,1,0,0,0,0,0,0,0,1,0,0,2
MKSI,0,0,0,0,0,0,0,0,1,1,0,0,2
MLI,0,0,0,0,0,0,0,0,0,0,1,0,1
MMC,0,0,0,0,0,0,0,1,0,0,0,0,1
MMM,0,0,0,0,0,0,1,0,0,0,0,0,1
MMS,0,1,0,0,0,0,0,0,0,0,0,0,1
MMSI,0,0,0,0,0,0,0,0,0,0,1,1,2
MNR,0,0,0,1,0,1,0,0,0,0,0,0,2
MNST,0,0,0,0,0,0,0,1,0,0,0,0,1
MNTV,0,1,0,0,0,0,0,0,0,0,0,0,1
MO,0,0,0,0,0,0,1,0,0,0,0,0,1
MODV,0,0,0,0,0,0,0,0,0,0,0,1,1
MOH,0,0,0,0,0,0,0,0,1,1,0,0,2
MPW,0,0,0,1,0,0,0,0,1,1,0,0,3
MPWR,1,0,1,0,0,0,0,0,0,0,0,0,2
MRK,0,0,0,0,0,0,1,0,0,0,0,0,1
MRNA,0,0,0,0,0,0,0,1,0,0,0,0,1
MRVL,0,0,0,0,0,0,0,1,0,0,0,0,1
MS,0,0,0,0,0,0,1,1,0,0,0,0,2
MSA,0,0,0,0,0,0,0,0,0,1,0,0,1
MSCI,0,0,0,0,0,0,0,1,0,0,0,0,1
MSFT,1,1,1,0,0,0,1,1,0,0,0,0,5
MSI,1,0,1,0,0,0,0,0,0,0,0,0,2
MSTR,0,1,0,0,0,0,0,0,0,0,0,0,1
MTD,0,0,0,0,0,0,0,1,0,0,0,0,1
MTDR,0,0,0,0,0,0,0,0,0,0,1,1,2
MTH,0,0,0,0,0,0,0,0,0,0,1,1,2
MU,1,0,1,0,0,0,1,0,0,0,0,0,3
MXL,0,0,0,0,0,0,0,0,0,0,1,1,2
NBIX,0,0,0,0,0,0,0,0,1,1,0,0,2
NDSN,0,0,0,0,0,0,0,0,1,1,0,0,2
NEE,0,0,0,0,0,0,1,1,0,0,0,0,2
NEO,0,0,0,0,0,0,0,0,0,0,1,1,2
NEWR,0,1,0,0,0,0,0,0,0,0,0,0,1
NFLX,0,0,0,0,0,0,1,0,0,0,0,0,1
NHI,0,0,0,1,0,1,0,0,0,0,0,0,2
NKE,0,0,0,0,0,0,1,1,0,0,0,0,2
NLOK,1,0,1,0,0,0,0,0,0,0,0,0,2
NMIH,0,0,0,0,0,0,0,0,0,0,0,1,1
NNN,0,0,0,1,0,1,0,0,1,0,0,0,3
NOW,1,1,1,0,0,0,1,1,0,0,0,0,5
NSA,0,0,0,1,0,1,0,0,0,0,0,0,2
NSC,0,0,0,0,0,0,0,1,0,0,0,0,1
NSIT,0,0,0,0,0,0,0,0,0,0,1,0,1
NTAP,1,0,1,0,0,0,0,0,0,0,0,0,2
NVDA,1,0,1,0,0,0,1,1,0,0,0,0,4
NXPI,1,0,1,0,0,0,0,0,0,0,0,0,2
NXRT,0,0,0,0,0,1,0,0,0,0,0,0,1
NYT,0,0,0,0,0,0,0,0,1,1,0,0,2
O,0,0,0,1,1,1,0,0,0,0,0,0,3
OC,0,0,0,0,0,0,0,0,1,0,0,0,1
ODFL,0,0,0,0,0,0,0,1,0,0,0,0,1
OFC,0,0,0,1,0,1,0,0,0,0,0,0,2
OHI,0,0,0,1,0,1,0,0,0,0,0,0,2
OKTA,0,0,0,0,0,0,0,1,0,0,0,0,1
OLED,0,0,0,0,0,0,0,0,1,1,0,0,2
OLN,0,0,0,0,0,0,0,0,1,0,0,0,1
OMCL,0,0,0,0,0,0,0,0,0,0,1,1,2
ONTO,0,0,0,0,0,0,0,0,0,0,1,1,2
OPI,0,0,0,0,0,1,0,0,0,0,0,0,1
ORCL,1,1,1,0,0,0,1,0,0,0,0,0,4
OSPN,0,1,0,0,0,0,0,0,0,0,0,0,1
OUT,0,0,0,1,0,0,0,0,0,0,0,0,1
PANW,0,1,0,0,0,0,0,1,0,0,0,0,2
PATK,0,0,0,0,0,0,0,0,0,0,0,1,1
PAYC,1,1,1,0,0,0,0,0,0,0,0,0,3
PAYX,1,1,1,0,0,0,0,0,0,0,0,0,3
PBH,0,0,0,0,0,0,0,0,0,0,1,0,1
PCRX,0,0,0,0,0,0,0,0,0,0,0,1,1
PCTY,0,1,0,0,0,0,0,0,1,1,0,0,3
PDCE,0,0,0,0,0,0,0,0,0,0,1,0,1
PDM,0,0,0,1,0,1,0,0,0,0,0,0,2
PEAK,0,0,0,1,1,1,0,0,0,0,0,0,3
PEB,0,0,0,1,0,1,0,0,0,0,0,0,2
PEN,0,0,0,0,0,0,0,0,1,1,0,0,2
PEP,0,0,0,0,0,0,1,0,0,0,0,0,1
PFE,0,0,0,0,0,0,1,0,0,0,0,0,1
PG,0,0,0,0,0,0,1,1,0,0,0,0,2
PGR,0,0,0,0,0,0,0,1,0,0,0,0,1
PGRE,0,0,0,0,0,1,0,0,0,0,0,0,1
PING,0,1,0,0,0,0,0,0,0,0,0,0,1
PK,0,0,0,1,0,1,0,0,0,0,0,0,2
PLD,0,0,0,1,1,1,1,1,0,0,0,0,5
PLMR,0,0,0,0,0,0,0,0,0,0,0,1,1
PM,0,0,0,0,0,0,1,0,0,0,0,0,1
POOL,0,0,0,0,0,0,0,1,0,0,0,0,1
POWI,0,0,0,0,0,0,0,0,0,0,1,1,2
PPBI,0,0,0,0,0,0,0,0,0,0,1,0,1
PRAA,0,0,0,0,0,0,0,0,0,0,0,1,1
PRFT,0,1,0,0,0,0,0,0,0,0,1,1,3
PRGS,0,1,0,0,0,0,0,0,0,0,0,0,1
PRI,0,0,0,0,0,0,0,0,0,1,0,0,1
PSA,0,0,0,1,1,1,0,0,0,0,0,0,3
PSB,0,0,0,1,0,1,0,0,0,0,0,0,2
PTC,1,1,1,0,0,0,0,0,0,0,0,0,3
PYPL,1,0,1,0,0,0,1,1,0,0,0,0,4
QADA,0,1,0,0,0,0,0,0,0,0,0,0,1
QCOM,1,0,1,0,0,0,1,1,0,0,0,0,4
QDEL,0,0,0,0,0,0,0,0,0,1,0,0,1
QLYS,0,1,0,0,0,0,0,0,0,0,0,0,1
