,Sector,Sector,Sector,Sector,Sector,Sector,Purpose,Purpose,Purpose,Purpose,Purpose,Purpose,
,Technology,Technology,Technology,Real Estate,Real Estate,Real Estate,Large_blend,Large_growth,Mid_blend,Mid_growth,Small_blend,Small_growth,
,RYT,XSW,XLK,USRT,XLRE,RWR,BBUS,JMOM,SPMD,MDYG,SLY,SLYG,Total
A,0,0,0,0,0,0,0,1,0,0,0,0,1
AAON,0,0,0,0,0,0,0,0,0,0,1,1,2
AAPL,1,0,1,0,0,0,1,1,0,0,0,0,4
AAT,0,0,0,1,0,1,0,0,0,0,0,0,2
ABBV,0,0,0,0,0,0,1,0,0,0,0,0,1
ABCB,0,0,0,0,0,0,0,0,0,0,1,0,1
ABG,0,0,0,0,0,0,0,0,0,0,1,0,1
ABM,0,0,0,0,0,0,0,0,0,0,1,0,1
ABT,0,0,0,0,0,0,1,0,0,0,0,0,1
ACC,0,0,0,1,0,1,0,0,0,0,0,0,2
ACM,0,0,0,0,0,0,0,0,1,0,0,0,1
ACN,1,1,1,0,0,0,1,0,0,0,0,0,4
ADBE,1,0,1,0,0,0,1,1,0,0,0,0,4
ADC,0,0,0,1,0,1,0,0,0,0,1,1,4
ADI,1,0,1,0,0,0,0,0,0,0,0,0,2
ADP,1,1,1,0,0,0,1,0,0,0,0,0,4
ADSK,1,1,1,0,0,0,0,1,0,0,0,0,4
AEIS,0,0,0,0,0,0,0,0,0,0,1,1,2
AFG,0,0,0,0,0,0,0,0,1,0,0,0,1
AFRM,0,1,0,0,0,0,0,0,0,0,0,0,1
AGO,0,0,0,0,0,0,0,0,0,0,1,0,1
AGPXX,1,0,0,0,0,0,0,0,0,0,0,0,1
AIRC,0,0,0,1,0,1,0,0,1,0,0,0,3
AIT,0,0,0,0,0,0,0,0,0,0,1,1,2
AJG,0,0,0,0,0,0,0,1,0,0,0,0,1
AJRD,0,0,0,0,0,0,0,0,0,0,1,0,1
AKAM,1,0,1,0,0,0,0,0,0,0,0,0,2
AKR,0,0,0,1,0,1,0,0,0,0,0,0,2
ALEX,0,0,0,1,0,0,0,0,0,0,0,0,1
ALRM,0,1,0,0,0,0,0,0,0,0,1,1,3
ALTR,0,1,0,0,0,0,0,0,0,0,0,0,1
AMAT,1,0,1,0,0,0,1,1,0,0,0,0,4
AMD,1,0,1,0,0,0,1,1,0,0,0,0,4
AMED,0,0,0,0,0,0,0,0,0,1,0,0,1
AMGN,0,0,0,0,0,0,1,0,0,0,0,0,1
AMH,0,0,0,1,0,1,0,0,0,0,0,0,2
AMN,0,0,0,0,0,0,0,0,0,0,1,1,2
AMSWA,0,1,0,0,0,0,0,0,0,0,0,0,1
AMT,0,0,0,0,1,0,1,0,0,0,0,0,2
AMZN,0,0,0,0,0,0,1,1,0,0,0,0,2
ANET,1,0,1,0,0,0,0,0,0,0,0,0,2
ANSS,1,1,1,0,0,0,0,1,0,0,0,0,4
ANTM,0,0,0,0,0,0,1,0,0,0,0,0,1
AON,0,0,0,0,0,0,0,1,0,0,0,0,1
APD,0,0,0,0,0,0,0,1,0,0,0,0,1
APH,1,0,1,0,0,0,0,0,0,0,0,0,2
APLE,0,0,0,1,0,1,0,0,0,0,0,0,2
APP,0,1,0,0,0,0,0,0,0,0,0,0,1
APPF,0,1,0,0,0,0,0,0,0,0,0,0,1
APPS,0,1,0,0,0,0,0,0,0,1,0,0,2
ARE,0,0,0,1,1,1,0,0,0,0,0,0,3
ARNC,0,0,0,0,0,0,0,0,0,0,1,1,2
ARW,0,0,0,0,0,0,0,0,1,0,0,0,1
ARWR,0,0,0,0,0,0,0,0,0,1,0,0,1
ASAN,0,1,0,0,0,0,0,0,0,0,0,0,1
ASGN,0,0,0,0,0,0,0,0,0,1,0,0,1
ATEN,0,1,0,0,0,0,0,0,0,0,0,0,1
ATR,0,0,0,0,0,0,0,0,1,1,0,0,2
AVAV,0,0,0,0,0,0,0,0,0,0,0,1,1
AVB,0,0,0,1,1,1,0,0,0,0,0,0,3
AVGO,1,0,1,0,0,0,1,1,0,0,0,0,4
AWK,0,0,0,0,0,0,0,1,0,0,0,0,1
AWR,0,0,0,0,0,0,0,0,0,0,1,1,2
AX,0,0,0,0,0,0,0,0,0,0,0,1,1
AXON,0,0,0,0,0,0,0,0,1,1,0,0,2
AXP,0,0,0,0,0,0,1,0,0,0,0,0,1
AYX,0,1,0,0,0,0,0,0,0,0,0,0,1
AZPN,0,1,0,0,0,0,0,0,1,1,0,0,3
BA,0,0,0,0,0,0,1,0,0,0,0,0,1
BAC,0,0,0,0,0,0,1,0,0,0,0,0,1
BCPC,0,0,0,0,0,0,0,0,0,0,1,1,2
BDN,0,0,0,1,0,1,0,0,0,0,0,0,2
BGS,0,0,0,0,0,0,0,0,0,0,0,1,1
BILL,0,1,0,0,0,0,0,0,0,0,0,0,1
BJ,0,0,0,0,0,0,0,0,1,0,0,0,1
BKNG,0,0,0,0,0,0,1,0,0,0,0,0,1
BKU,0,0,0,0,0,0,0,0,0,0,1,0,1
BL,0,1,0,0,0,0,0,0,0,0,0,0,1
BLD,0,0,0,0,0,0,0,0,1,1,0,0,2
BLDR,0,0,0,0,0,0,0,0,1,1,0,0,2
BLK,0,0,0,0,0,0,1,1,0,0,0,0,2
BLKB,0,1,0,0,0,0,0,0,0,0,0,0,1
BLL,0,0,0,0,0,0,0,1,0,0,0,0,1
BMI,0,0,0,0,0,0,0,0,0,0,1,1,2
BMY,0,0,0,0,0,0,1,0,0,0,0,0,1
BNL,0,0,0,1,0,1,0,0,0,0,0,0,2
BOOT,0,0,0,0,0,0,0,0,0,0,1,1,2
BOX,0,1,0,0,0,0,0,0,0,0,0,0,1
BR,1,1,1,0,0,0,0,0,0,0,0,0,3
BRK.B,0,0,0,0,0,0,1,0,0,0,0,0,1
