etf,symbol,name,pct_holding
RYT,ENPH,Enphase Energy Inc,0.0192
RYT,ANET,Arista Networks Inc,0.0153
RYT,CRM,Salesforce.com Inc,0.0153
RYT,XLNX,Xilinx Inc,0.0152
RYT,PAYC,Paycom Software Inc,0.0151
RYT,TYL,Tyler Technologies,0.0151
RYT,AMD,Adv Micro Devices,0.015
RYT,TER,Teradyne Inc,0.015
RYT,CDAY,Ceridian Hcm Holding Inc,0.015
RYT,NVDA,Nvidia Corp,0.0149
RYT,MSFT,Microsoft Corp,0.0147
RYT,ADP,Automatic Data Procs,0.0147
RYT,PAYX,Paychex Inc,0.0147
RYT,ADSK,Autodesk Inc,0.0147
RYT,INTU,Intuit Inc,0.0145
RYT,FTNT,Fortinet Inc,0.0142
RYT,HPQ,HP Inc,0.0142
RYT,NOW,Servicenow Inc,0.0141
RYT,ORCL,Oracle Corp,0.014
RYT,AVGO,Broadcom Ltd,0.014
RYT,MPWR,Monolithic Power Sys,0.014
RYT,KLAC,K L A-Tencor Corp,0.014
RYT,STX,Seagate Technology Hldgs Plc,0.0139
RYT,JNPR,Juniper Networks,0.0139
RYT,IT,Gartner Inc,0.0139
RYT,BR,Broadridge Financial Solutions Llc,0.0138
RYT,ACN,Accenture Plc,0.0138
RYT,FFIV,F5 Networks Inc,0.0137
RYT,TDY,Teledyne Technologies Inc,0.0136
RYT,CDNS,Cadence Design Sys,0.0136
RYT,MSI,Motorola Solutions,0.0134
RYT,CTSH,Cognizant Tech Sol,0.0134
RYT,HPE,Hewlett Packard Enterprise Comp,0.0134
RYT,ADI,Analog Devices,0.0134
RYT,APH,Amphenol Corp,0.0134
RYT,ANSS,Ansys Inc,0.0133
RYT,PTC,Ptc Inc,0.0133
RYT,VRSN,Verisign Inc,0.0132
RYT,AAPL,Apple Inc,0.0132
RYT,TEL,Te Connectivity Ltd,0.0132
RYT,SNPS,Synopsys Inc,0.0132
RYT,KEYS,Keysight Technologies Inc Comm,0.0131
RYT,AMAT,Applied Materials,0.0131
RYT,ADBE,Adobe Systems Inc,0.013
RYT,JKHY,Jack Henry & Assoc,0.0129
RYT,TXN,Texas Instruments,0.0129
RYT,NTAP,Netapp Inc,0.0127
RYT,CSCO,Cisco Systems Inc,0.0127
RYT,MA,Mastercard Inc,0.0127
RYT,FLT,Fleetcor Technologies,0.0125
RYT,DXC,Dxc Technology Company,0.0124
RYT,NXPI,Nxp Semiconductors,0.0124
RYT,CDW,CDW Corp,0.0124
RYT,SWKS,Skyworks Solutions,0.0124
RYT,LRCX,Lam Research Corp,0.0124
RYT,AKAM,Akamai Technologies,0.0124
RYT,V,Visa Inc,0.0124
RYT,MCHP,Microchip Technology,0.0124
RYT,MU,Micron Technology,0.0123
RYT,QRVO,Qorvo Inc,0.0123
RYT,NLOK,Nortonlifelock Inc,0.0123
RYT,QCOM,Qualcomm Inc,0.0122
RYT,TRMB,Trimble Navigation,0.0122
RYT,IPGP,Ipg Photonics Corp,0.0121
RYT,ZBRA,Zebra Technologies,0.0121
RYT,GLW,Corning Inc,0.012
RYT,IBM,International Business Machines,0.012
RYT,INTC,Intel Corp,0.0119
RYT,WDC,Western Digital Cp,0.0118
RYT,FIS,Fidelity National Information Services,0.0117
RYT,FISV,Fiserv Inc,0.0117
RYT,CTXS,Citrix Systems Inc,0.0116
RYT,WU,Western Union Company,0.0113
RYT,GPN,Global Payments Inc,0.0113
RYT,PYPL,Paypal Holdings,0.0107
