category,type,etf
Sector,Technology,RYT
Sector,Technology,XSW
Sector,Technology,XLK
Sector,Real Estate,USRT
Sector,Real Estate,XLRE
Sector,Real Estate,RWR
Purpose,Large_blend,BBUS
Purpose,Large_growth,JMOM
Purpose,Mid_blend,SPMD
Purpose,Mid_growth,MDYG
Purpose,Small_blend,SLY
Purpose,Small_growth,SLYG
